id,text,category,urgency,recommended_action
MSG0070,I lost my scholarship and I don't know how I'll continue paying for Data Structures materials and tuition.,Financial difficulty,High,Financial aid office referral
MSG0112,I feel completely burnt out and don't know how much longer I can keep pushing through Data Science.,Personal/Mental health,High,Counselling services referral
MSG0037,I had a small doubt about the grading rubric used for the Operating Systems project.,Academic difficulty,Low,Academic advisor follow-up
MSG0074,I'm a bit behind on my fee payment and want to know the process for requesting an extension.,Financial difficulty,Medium,Financial aid office referral
MSG0080,"Managing both hostel and Database Systems material costs this month has been tight, are there any aid options?",Financial difficulty,Medium,Financial aid office referral
MSG0215,Looking forward to the guest lecture on Data Structures next week!,No_Concern,No_Concern,No action required
MSG0032,The pace of Data Structures has been too fast for me and I'm falling behind on assignments.,Academic difficulty,Medium,Academic advisor follow-up
MSG0146,My transcript has an error in my Linear Algebra grade and I need it corrected before applications close.,Administrative,Medium,Route to administrative office
MSG0116,I feel completely burnt out and don't know how much longer I can keep pushing through Statistics.,Personal/Mental health,High,Counselling services referral
MSG0029,I need some extra guidance on the topics from last week's Data Science lecture.,Academic difficulty,Medium,Academic advisor follow-up
MSG0122,I feel anxious before every Software Engineering exam and it's starting to affect my performance.,Personal/Mental health,Medium,Counselling services referral
MSG0098,Is there a fee breakdown available for Data Structures materials and lab charges?,Financial difficulty,Low,Financial aid office referral
MSG0192,Explicit messages are being circulated about me in a Computer Networks class group and I need this addressed urgently.,Harassment/Safety,High,Escalate to student safety/conduct office
MSG0028,I'm having trouble balancing coursework across Software Engineering and my other subjects this semester.,Academic difficulty,Medium,Academic advisor follow-up
MSG0129,I've been feeling quite disconnected from my classmates and struggling to keep up with Operating Systems.,Personal/Mental health,Medium,Counselling services referral
MSG0204,A few students in Data Structures have been making uncomfortable comments about me in the group chat.,Harassment/Safety,Medium,Escalate to student safety/conduct office
MSG0042,Is there a recommended textbook for Natural Language Processing that covers the topics in more depth?,Academic difficulty,Low,Academic advisor follow-up
MSG0019,I missed a couple of lectures in Operating Systems and I'm finding it hard to catch up on my own.,Academic difficulty,Medium,Academic advisor follow-up
MSG0036,I'm struggling to understand the concepts covered in Data Structures over the last two weeks.,Academic difficulty,Medium,Academic advisor follow-up
MSG0132,I've been feeling quite disconnected from my classmates and struggling to keep up with Software Engineering.,Personal/Mental health,Medium,Counselling services referral
MSG0020,The pace of Computer Networks has been too fast for me and I'm falling behind on assignments.,Academic difficulty,Medium,Academic advisor follow-up
MSG0158,I need to request a leave of absence for Linear Algebra due to a family function next week.,Administrative,Medium,Route to administrative office
MSG0005,My attendance has dropped below the required percentage and I'm scared I'll be barred from the exam.,Academic difficulty,High,Academic advisor follow-up
MSG0018,I don't understand anything that has been taught in Operating Systems this semester and the mid-terms are next week.,Academic difficulty,High,Academic advisor follow-up
MSG0208,A few students in Operating Systems have been making uncomfortable comments about me in the group chat.,Harassment/Safety,Medium,Escalate to student safety/conduct office
MSG0154,I need to request a leave of absence for Software Engineering due to a family function next week.,Administrative,Medium,Route to administrative office
MSG0118,I feel completely burnt out and don't know how much longer I can keep pushing through Data Structures.,Personal/Mental health,High,Counselling services referral
MSG0219,Could you confirm the room number for tomorrow's Data Structures tutorial?,No_Concern,No_Concern,No action required
MSG0183,"I reported an incident last week and nothing has been done, the harassment has continued in Machine Learning.",Harassment/Safety,High,Escalate to student safety/conduct office
MSG0125,I've been feeling quite stressed and low on energy for the past couple of weeks.,Personal/Mental health,Medium,Counselling services referral
MSG0003,I don't understand anything that has been taught in Statistics this semester and the mid-terms are next week.,Academic difficulty,High,Academic advisor follow-up
MSG0114,I feel completely burnt out and don't know how much longer I can keep pushing through Natural Language Processing.,Personal/Mental health,High,Counselling services referral
MSG0009,I've missed the last three weeks of Operating Systems due to a family emergency and I'm at risk of failing.,Academic difficulty,High,Academic advisor follow-up
MSG0185,Explicit messages are being circulated about me in a Linear Algebra class group and I need this addressed urgently.,Harassment/Safety,High,Escalate to student safety/conduct office
MSG0173,I wanted to know the process for adding a minor elective alongside Data Structures.,Administrative,Low,Route to administrative office
MSG0047,I'd like some feedback on my last submission for Machine Learning when you have time.,Academic difficulty,Low,Academic advisor follow-up
MSG0226,"The Statistics project guidelines were very clear, thanks for the detailed rubric.",No_Concern,No_Concern,No action required
MSG0200,A group project teammate has been dismissive and disrespectful toward me throughout Computer Networks.,Harassment/Safety,Medium,Escalate to student safety/conduct office
MSG0081,I wanted to ask about part-time work opportunities on campus to help cover my Machine Learning related expenses.,Financial difficulty,Medium,Financial aid office referral
MSG0155,My transcript has an error in my Computer Networks grade and I need it corrected before applications close.,Administrative,Medium,Route to administrative office
MSG0224,"The Linear Algebra study group has been really helpful, thanks for setting it up.",No_Concern,No_Concern,No action required
MSG0160,I wanted to confirm the last date for course registration this semester.,Administrative,Low,Route to administrative office
MSG0189,"I reported an incident last week and nothing has been done, the harassment has continued in Database Systems.",Harassment/Safety,High,Escalate to student safety/conduct office
MSG0060,I can't afford the lab equipment required for Statistics and my deadline to submit is this week.,Financial difficulty,High,Financial aid office referral
MSG0008,I have fallen so far behind in Operating Systems that I don't think I can catch up before the exam.,Academic difficulty,High,Academic advisor follow-up
MSG0066,I can't afford the lab equipment required for Operating Systems and my deadline to submit is this week.,Financial difficulty,High,Financial aid office referral
MSG0089,I wanted to ask about part-time work opportunities on campus to help cover my Computer Networks related expenses.,Financial difficulty,Medium,Financial aid office referral
MSG0213,Could you share the slides from today's Linear Algebra lecture?,No_Concern,No_Concern,No action required
MSG0186,"I reported an incident last week and nothing has been done, the harassment has continued in Statistics.",Harassment/Safety,High,Escalate to student safety/conduct office
MSG0121,I've been going through a difficult personal situation that's affecting my concentration in class.,Personal/Mental health,Medium,Counselling services referral
MSG0131,I've been feeling quite disconnected from my classmates and struggling to keep up with Linear Algebra.,Personal/Mental health,Medium,Counselling services referral
MSG0198,Someone in my Natural Language Processing batch keeps making jokes at my expense and it's starting to bother me.,Harassment/Safety,Medium,Escalate to student safety/conduct office
MSG0196,A group project teammate has been dismissive and disrespectful toward me throughout Machine Learning.,Harassment/Safety,Medium,Escalate to student safety/conduct office
MSG0091,I wanted to check the refund policy in case I withdraw from an elective.,Financial difficulty,Low,Financial aid office referral
MSG0015,I don't understand anything that has been taught in Machine Learning this semester and the mid-terms are next week.,Academic difficulty,High,Academic advisor follow-up
MSG0048,Could you clarify the deadline extension policy for Software Engineering assignments?,Academic difficulty,Low,Academic advisor follow-up
MSG0138,Could you point me to resources on managing exam stress?,Personal/Mental health,Low,Counselling services referral
MSG0223,Can you share the reading list for next month's Database Systems topics?,No_Concern,No_Concern,No action required
MSG0087,"Managing both hostel and Software Engineering material costs this month has been tight, are there any aid options?",Financial difficulty,Medium,Financial aid office referral
MSG0145,I need to update my address on record but I'm not sure which office to contact.,Administrative,Medium,Route to administrative office
MSG0218,"Congratulations to the team for winning the hackathon, great work!",No_Concern,No_Concern,No action required
MSG0211,"The Database Systems project guidelines were very clear, thanks for the detailed rubric.",No_Concern,No_Concern,No action required
MSG0130,I feel anxious before every Data Structures exam and it's starting to affect my performance.,Personal/Mental health,Medium,Counselling services referral
